approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0025383052,0.14160156,5978.5,4500.0,0.0023482441902160645,227,71,4.8569236,-0.010969149,9088,164.45023005717206,36352,0.092824064
0.002670717,0.18017578,5978.5,4500.0,0.006707131862640381,226,72,4.7794666,-0.013122581,9216,166.70798125180713,36864,0.03219496
0.0032827104,0.22509766,5532.0,4873.333333333333,-0.0005813837051391602,226,73,4.873006,-0.006924442,9344,168.96760803398197,37376,0.009712766
0.0041844836,0.23828125,6513.5,5060.0,-0.007693648338317871,229,74,4.5512633,-0.010646962,9472,171.201948571676,37888,0.009050255
0.0032909475,0.21289062,6513.5,5060.0,0.012770593166351318,214,75,4.620199,-0.012100577,9600,173.5866464871932,38400,0.008398056
0.00252262,0.1850586,6513.5,5060.0,0.004603385925292969,230,76,4.7390842,-0.006107327,9728,175.81228312536928,38912,0.2194101
0.002182565,0.1303711,6513.5,5060.0,-0.11088752746582031,229,77,4.673257,-0.012419909,9856,178.04827156803447,39424,0.00104733
0.0025893252,0.18798828,6513.5,5060.0,0.006607174873352051,230,78,4.7131763,-0.0089676725,9984,180.27457260629492,39936,0.056368586
0.0023911363,0.12841797,7210.8,5128.0,0.011415421962738037,226,79,4.680302,-0.0072270418,10112,182.5353431790912,40448,0.017135173
0.0017767241,0.08300781,7210.8,5128.0,0.0069710612297058105,228,80,4.601905,-0.0099213235,10240,184.77962883550842,40960,0.16867083
0.0030471382,0.17626953,7210.8,5128.0,0.003086090087890625,228,81,4.4719057,-0.010933036,10368,187.02394599034233,41472,0.021829937
0.0032129106,0.19824219,7210.8,5128.0,0.003019988536834717,226,82,4.5570474,-0.0052457377,10496,189.28730564918166,41984,0.52979434
0.0028298518,0.1796875,6559.833333333333,6710.0,-0.0009322166442871094,230,83,4.3451314,-0.008219272,10624,191.50895476939107,42496,0.0114602875
0.0022245047,0.1430664,6559.833333333333,6710.0,0.00897204875946045,226,84,4.41061,-0.011785945,10752,193.77129320905308,43008,0.1274777
0.0026306938,0.15478516,6559.833333333333,6710.0,0.0006296634674072266,227,85,4.4111714,-0.011613403,10880,196.02190026944766,43520,0.014689297
0.0033635257,0.24023438,6559.833333333333,6710.0,0.00958859920501709,229,86,4.3137865,-0.00848358,11008,198.25229777806956,44032,0.005952214
0.0017538372,0.10986328,6559.833333333333,6710.0,-0.4341801404953003,228,87,4.270109,-0.010067541,11136,200.4942112754554,44544,0.0018350632
0.002729118,0.1694336,6559.833333333333,6710.0,0.0764957070350647,229,88,4.1756845,-0.008007059,11264,202.73014901335225,45056,0.008195686
0.0032500962,0.26464844,5805.285714285715,6494.285714285715,0.008485555648803711,223,89,4.1563134,-0.008552003,11392,205.02259658699637,45568,0.18643242
0.0027079007,0.19677734,5805.285714285715,6494.285714285715,0.06323665380477905,226,90,4.092964,-0.011534056,11520,207.2863718712853,46080,0.022177266
0.0025213724,0.17919922,5805.285714285715,6494.285714285715,-0.0007568597793579102,227,91,3.998233,-0.007881008,11648,209.54259375144048,46592,0.792101
0.0029116531,0.18261719,5805.285714285715,6494.285714285715,-0.02207767963409424,226,92,4.0573635,-0.008964038,11776,211.8088972900187,47104,0.009637267
0.0032614295,0.21386719,5805.285714285715,6494.285714285715,-0.021421313285827637,227,93,4.0891414,-0.008877732,11904,214.05920480116885,47616,0.01134329
0.002876908,0.19189453,5805.285714285715,6494.285714285715,0.018206477165222168,227,94,4.0058436,-0.009637175,12032,216.3136877033254,48128,0.01953769
0.0035753902,0.24658203,5805.285714285715,6494.285714285715,-0.04371440410614014,227,95,4.036946,-0.011956792,12160,218.560334483852,48640,0.008142404
0.002111727,0.115722656,5805.285714285715,6494.285714285715,0.07698220014572144,228,96,4.172536,-0.008652503,12288,220.80249927015862,49152,0.008997033
0.0020025654,0.1171875,5805.285714285715,6494.285714285715,0.013129234313964844,225,97,4.066402,-0.0074960436,12416,223.07194776151718,49664,0.038332686
0.0026854156,0.1977539,5805.285714285715,6494.285714285715,0.01410520076751709,226,98,3.9849057,-0.010232669,12544,225.33787785877814,50176,0.06515864
0.002384836,0.15429688,5805.285714285715,6494.285714285715,0.01693868637084961,227,99,3.9822884,-0.009000152,12672,227.59161457671294,50688,0.120098665
0.0039954097,0.27392578,5805.285714285715,6494.285714285715,0.036559998989105225,229,100,3.907002,-0.014520056,12800,229.82799482895172,51200,0.039985362
0.003002574,0.21679688,5805.285714285715,6494.285714285715,0.12831908464431763,227,101,4.0231934,-0.011163064,12928,232.08241641046556,51712,0.015832564
0.0026244442,0.15429688,5524.875,8610.0,-0.07086443901062012,227,102,3.9193573,-0.0075405138,13056,234.3346479790029,52224,0.016686922
0.0026035516,0.17773438,5524.875,8610.0,-0.020167112350463867,223,103,3.9226437,-0.008744203,13184,236.6292047592641,52736,0.010023804
0.002371886,0.16748047,5524.875,8610.0,0.02022784948348999,228,104,3.8870552,-0.010431664,13312,238.87263101874677,53248,0.040130258
0.0013758724,0.047851562,5524.875,8610.0,0.025609731674194336,228,105,4.001893,-0.0058584064,13440,241.11202527136828,53760,0.028442426
0.0026725372,0.18066406,5524.875,8610.0,-0.010841012001037598,227,106,3.9182189,-0.008746978,13568,243.36650125923825,54272,0.08922441
